HTML・CSS,言語スキル,経験のあるマークアップ・スタイル言語を選択してください。,ENGINEER_SKILL_LEVEL,HTML,CSS,,,,,,,,
HTML・CSS,言語スキル,HTML・CSSを使って構築したことがあるサイトやシステムを選択してください。,-,業務システム（管理画面など）,SNS系（投稿、コメント、プロフィール機能など）,ECサイト（カート機能、商品一覧、決済ページなど）,メディアサイト（ニュース、ブログなど）,LP（ランディングページ、キャンペーンページ）,管理系ダッシュボード,企業コーポレートサイト,,,
HTML・CSS,言語スキル,デザインシステムの構築経験はありますか？,-,はい,いいえ,,,,,,,,
HTML・CSS,言語スキル,デザインシステムの構築経験について経験のあるものを選択してください。,-,部分的なガイドライン策定やCSS設計,チームでデザインシステムを作成し、コンポーネントライブラリを構築,自らリードしてデザインシステム全体の設計・運用,,,,,,,
HTML・CSS,CSSプリプロセッサ,経験のあるプリプロセッサを選択してください。,ENGINEER_SKILL_LEVEL,Sass,Less,,,,,,,,
HTML・CSS,CSSフレームワーク,経験のあるCSSフレームワークを選択してください。,ENGINEER_SKILL_LEVEL,Bootstrap,Tailwind CSS,Bulma,Foundation,Materialize,,,,,
HTML・CSS,CSS設計,経験のあるCSS設計手法を選択してください。,-,BEM,OOCSS,SMACSS,Atomic Design,,,,,,
HTML・CSS,CSS設計,CSSを役割ごとにレイヤーに分けて設計・管理した経験はありますか？,-,はい,いいえ,,,,,,,,
JavaScript,言語スキル,経験のある言語を選択してください。,ENGINEER_SKILL_LEVEL,JavaScript,TypeScript,,,,,,,,
JavaScript,DOM操作・イベント,JavaScriptを利用したDOM操作やイベントで経験のあるものを選択してください。,-,DOM取得・操作,属性・スタイル制御,イベントリスナ,イベントバブリング制御,イベントデリゲーション制御,,,,,
JavaScript,非同期処理・API通信,JavaScriptの非同期処理・API通信に関して、経験のあるものを選択してください。,-,コールバック関数を使った非同期処理,Promise（try/catch）を使った非同期処理,async/await構文を使った非同期処理,XMLHttpRequestを使ったAPI通信,Fetch APIを使ったAPI通信,Axiosなどのライブラリを使ったAPI通信,複数のAPIを連続的・並列的に呼び出す処理,非同期処理中のエラーハンドリング,APIレスポンスのJSONデータ処理,APIレスポンスのキャッシュやデータ保存（localStorage/IndexedDBなど）
JavaScript,オブジェクト指向・モジュール化,JavaScriptのオブジェクト指向・モジュールかに関して、経験のあるものを選択してください。,-,オブジェクトリテラルを使ったデータ構造・機能定義,コンストラクタ関数とプロトタイプを使ったオブジェクト設計,ES6クラス（class、constructor、メソッド）を使ったオブジェクト設計,クラス継承（extends、super）を使った実装,モジュールパターン（IIFEなど）を使ったスコープ管理,ESモジュール（import・export）を使ったモジュール化,CommonJS（require/module.exports）を使ったモジュール化,名前空間を使ったグローバル汚染防止,"thisの挙動制御（bind、call,、applyなど）",クラスベースのUIコンポーネント
JavaScript,パフォーマンス最適化,JavaScriptのパフォーマンス最適化に関して、実践したことがあるものを選択してください。,-,DOM最適化（レンダリングパフォーマンス改善）,冗長なループやネストの改善,関数最適化（無駄なメモリ消費・再実行を抑制）,デバウンス・スロットル対応,メモリリーク解消,Lazy loading（コード分割・動的インポート）,Web Workerによるスレッド化,画像やメディアの最適化,,
フレームワーク・ライブラリ,UIライブラリ・フレームワーク,経験のあるUIライブラリ・フレームワークを選択してください。,ENGINEER_SKILL_LEVEL,React,Vue,Angular,Solid,Svelte,Qwik,,,,
フレームワーク・ライブラリ,コンポーネントライブラリ,経験のあるコンポーネントライブラリを選択してください。,ENGINEER_SKILL_LEVEL,MUI,Chakra UI,Ant Design,Vuetify,Quasar,Naive UI,Angular Material,,,
フレームワーク・ライブラリ,,UIライブラリでカスタマイズした経験のあるものを選択してください。,-,グローバルなテーマカラー・フォントなどの変更,コンポーネント単位のスタイルオーバーライド,カスタムバリアント・サイズなどの追加,コンポーネント内部ロジックの置き換え（Props追加、イベント拡張）,TypeScriptでの型補完やコンポーネント制限,,,,,
フレームワーク・ライブラリ,SSRフレームワーク,経験のあるSSRフレームワークを選択してください。,ENGINEER_SKILL_LEVEL,Next.js,Remix,Gatsby,Nuxt.js,Astro,SvelteKit,,,,
