カテゴリ	サブカテゴリ	質問	回答																															
プログラミング	主要プログラミング言語の熟練度	経験のある言語（サーバーサイド）を選択してください。	Java	Kotlin	Scala	Node.js	Ruby	PHP	Python	Go	Rust	Elixir																						
プログラミング	主要プログラミング言語の熟練度	得意なプログラミング言語について、概念を理解できているものを選択してください。	変数のスコープ	エラーハンドリング	データ構造（リスト、スタック、キュー、ハッシュマップ）	非同期処理（スレッド、コルーチン、Promiseなど）																												
プログラミング	デバッグスキル	IDE のステップデバッガー（例: Visual Studio Code、IntelliJ、PhpStorm など）を使用して、コードのデバッグを行ったことがありますか？	はい	いいえ																														
プログラミング	デバッグスキル	ステップデバッガーの活用レベルを教えてください。	ブレークポイントを設定してコードを一時停止することができる	変数ウォッチや条件付きブレークポイントを活用できる	ステップイン／アウト、コールスタックの確認、例外デバッグができる	メモリ解析やスレッドデバッグを含む高度なデバッグができる																												
プログラミング	デバッグスキル	ブラウザのデベロッパーツール（Chrome DevTools など）を使用して、リクエストのパフォーマンスを分析したことがありますか？	はい	いいえ																														
プログラミング	デバッグスキル	ブラウザのデベロッパーツールの活用レベルを教えてください。	Network タブで、リクエストの詳細情報（ステータスコード、レスポンスタイム、サイズなど）を確認したことがある	Chrome DevTools の Waterfall グラフを使って、リクエストの遅延やボトルネックを特定したことがある	リクエストの「タイムライン」タブを使用して、特定のリソースがどの段階で遅れているかを分析したことがある	パフォーマンス分析の際に、Throttlingを使用して、ネットワーク帯域やCPUの負荷をシミュレーションしたことがある	リクエストを送信する際、 "Request/Response Headers" を使って、特定のヘッダーがパフォーマンスに与える影響を確認し改善したことはありますか？	DevTools の「Console」タブを使って、API リクエストの結果を直接確認し、問題の診断を行ったことがありますか？																										
プログラミング	コードの可読性とメンテナンス性	プロジェクトや組織内で、コーディングルール（例: コードフォーマット、命名規則、レビュー基準）を策定した経験がありますか？	はい	いいえ																														
プログラミング	コードの可読性とメンテナンス性	コーディングルールの策定後、どのようにルールの遵守を監視しましたか？	手動でルールを共有し、ドキュメントで管理した	自動化ツール（例: ESLint, Prettier, StyleCI）を設定し、コードの整形やチェックを行った	CI/CD パイプラインに組み込み、コードレビュー時に自動でチェックが行われるようにした	コードレビュー時に手動チェックを行い、チームでルールの遵守を確認していた																												
プログラミング	アルゴリズム	データ検索・フィルタリングを実装するときに利用するアルゴリズムで経験のあるものを選択してください。	二分探索（例: ソート済みリストから効率的に検索）	Trie（例: オートコンプリートや辞書検索）	ハッシュ検索（例: 一意なキーを用いた高速検索）																													
プログラミング	アルゴリズム	ソート処理を実装するときに利用したことのあるアルゴリズムを選択してください。	クイックソート（大量データのソートでよく使う）	マージソート（安定なソートが求められる場合に使用）	ヒープソート（優先度付きキューの実装などで使用）	その他（バブルソート、挿入ソートなど）																												
プログラミング	アルゴリズム	レコメンド機能（推薦システム）を実装した際に利用したことのあるアルゴリズムを選択してください。	K近傍法（KNN）（類似データを検索して推薦）	協調フィルタリング（ユーザーの行動データを元に推薦）	ページランク（リンクの重要度を算出し推薦）	その他（行列分解、コンテンツベースフィルタリングなど）																												
プログラミング	アルゴリズム	経路探索・ルーティングを実装した際に利用したことのあるアルゴリズムを選択してください。	ダイクストラ法（最短経路を求める一般的なアルゴリズム）	A（Aスター）アルゴリズム*（ヒューリスティックを活用した最適経路探索）	ベルマンフォード法（負の重みを考慮できる最短経路探索）	フロイド・ワーシャル法（全頂点間の最短経路を求めるアルゴリズム）	幅優先探索（BFS）（迷路やグリッドでの最短経路探索に使用）	深さ優先探索（DFS）（探索範囲を深く進める方法）																										
プログラミング	正規表現	正規表現を使って、ログ解析、入力バリデーション、テキスト抽出などのパターンマッチング処理を実装したことがありますか？	はい	いいえ																														
